,node1,node2
0,AKT1,AKT2
1,AKT1,AKT3
2,AKT1,PDPK1
3,AKT1,PRKCB
4,AKT1,PKN2
5,AKT1,EEF2K
6,AKT1,BCR
7,AKT1,BRD4
8,AKT1,PDK1
9,AKT1,PDK2
10,AKT1,PDK4
11,AKT1,ATM
12,AKT1,ATR
13,AKT1,MTOR
14,AKT1,CAMK2A
15,AKT1,CAMK2D
16,AKT1,CHEK1
17,AKT1,STK11
18,AKT1,MARK2
19,AKT1,MAPKAPK2
20,AKT1,PKD1
21,AKT1,PKD2
22,AKT1,TRIB1
23,AKT1,TRIB3
24,AKT1,KALRN
25,AKT1,CDK1
26,AKT1,CDK2
27,AKT1,CDK4
28,AKT1,CDK6
29,AKT1,GSK3A
30,AKT1,GSK3B
31,AKT1,MAPK3
32,AKT1,MAPK1
33,AKT1,MAPK8
34,AKT1,MAPK9
35,AKT1,MAPK10
36,AKT1,SRPK2
37,AKT1,AURKA
38,AKT1,CSNK2A1
39,AKT1,CHUK
40,AKT1,IKBKB
41,AKT1,TBK1
42,AKT1,PINK1
43,AKT1,EIF2AK3
44,AKT1,PIK3R4
45,AKT1,MAP3K3
46,AKT1,MAP3K6
47,AKT1,GCK
48,AKT1,MST1
49,AKT1,STK4
50,AKT1,STK3
51,AKT1,PAK1
52,AKT1,PKN1
53,AKT1,MAP2K1
54,AKT1,MAP2K2
55,AKT1,MAP2K5
56,AKT1,MAP2K3
57,AKT1,MAP2K4
58,AKT1,MAP3K8
59,AKT1,MAP3K14
60,AKT1,CSK
61,AKT1,EGFR
62,AKT1,EPHA2
63,AKT1,PTK2
64,AKT1,FGFR1
65,AKT1,FGFR4
66,AKT1,IGF1R
67,AKT1,INSR
68,AKT1,JAK1
69,AKT1,JAK3
70,AKT1,MST1R
71,AKT1,CSF1R
72,AKT1,FLT3
73,AKT1,KIT
74,AKT1,PDGFRA
75,AKT1,PDGFRB
76,AKT1,PTK6
77,AKT1,FYN
78,AKT1,SRC
79,AKT1,YES1
80,AKT1,TEK
81,AKT1,NTRK1
82,AKT1,KDR
83,AKT1,IRAK2
84,AKT1,MAP3K11
85,AKT1,BRAF
86,AKT1,ACTR2
87,AKT2,AKT3
88,AKT2,PDPK1
89,AKT2,PDK1
90,AKT2,PDK2
91,AKT2,ATM
92,AKT2,MTOR
93,AKT2,STK11
94,AKT2,MAPK3
95,AKT2,MAPK1
96,AKT2,MAPK10
97,AKT2,CHUK
98,AKT2,IKBKB
99,AKT2,MAP3K5
100,AKT2,MAP2K1
101,AKT2,MAP2K4
102,AKT2,MAP3K8
103,AKT2,MAP3K14
104,AKT2,CSK
105,AKT2,EGFR
106,AKT2,LCK
107,AKT2,LYN
108,AKT2,SRC
109,AKT2,YES1
110,AKT2,ILK
111,AKT2,RAF1
112,AKT3,PDPK1
113,AKT3,ATM
114,AKT3,MTOR
115,AKT3,TRIB3
116,AKT3,MAPK3
117,AKT3,MAPK1
118,AKT3,MAPK8
119,AKT3,CHUK
120,AKT3,MAP3K5
121,AKT3,MAP2K1
122,AKT3,MAP3K8
123,AKT3,MAP3K14
124,AKT3,KIT
125,AKT3,FYN
126,AKT3,LCK
127,AKT3,LYN
128,AKT3,SRC
129,AKT3,ILK
130,ROCK2,ROCK1
131,ROCK2,MAPK3
132,ROCK2,MAPK1
133,ROCK2,MAP2K4
134,ROCK2,JAK2
135,ROCK2,KDR
136,ROCK2,LIMK1
137,ROCK2,RAF1
138,ROCK1,MTOR
139,ROCK1,MAPK3
140,ROCK1,MAPK1
141,ROCK1,MAP2K4
142,ROCK1,EGFR
143,ROCK1,EPHB3
144,ROCK1,KDR
145,CIT,CDK1
146,CIT,BUB1B
147,CIT,BUB1
148,CIT,ACTR2
149,GRK2,GRK5
150,GRK2,GRK6
151,GRK2,PRKCB
152,GRK2,PRKCG
153,GRK2,PRKCD
154,GRK2,CSNK1G2
155,GRK2,EGFR
156,GRK2,INSR
157,GRK2,SRC
158,GRK2,NTRK1
159,GRK3,GRK5
160,GRK3,CSNK1G2
161,GRK4,CHUK
162,GRK5,GRK6
163,GRK5,IKBKB
164,MAST3,MAST4
165,CLASP1,BUB1B
166,CLASP1,BUB1
167,CLASP1,PLK1
168,CLASP1,ABL1
169,CLASP1,INSR
170,MAST1,PLK3
171,MAST1,PLK4
172,MAST1,PLK2
173,MAST1,LRRK2
174,MASTL,RPS6KA1
175,MASTL,CHEK2
176,MASTL,BUB1B
177,MASTL,BUB1
178,MASTL,PLK1
179,MASTL,PLK2
180,MASTL,TTK
181,STK38,MTOR
182,STK38,TP53RK
183,STK38,PLK4
184,STK38,MAP3K2
185,STK38,PAK1
186,STK38,PAK2
187,STK38,STK24
188,STK38,STK26
189,LATS1,LATS2
190,LATS1,MST1
191,LATS1,MAP4K4
192,LATS1,SRC
193,LATS1,LIMK1
194,LATS2,CHEK1
195,LATS2,AURKA
196,LATS2,MAP3K5
197,LATS2,STK4
198,STK38L,CLK3
199,STK38L,STK24
200,PRKACA,PRKX
201,PRKACA,CAMK4
202,PRKACA,SIK2
203,PRKACA,PHKG2
204,PRKACA,CSNK1G2
205,PRKACA,DYRK1B
206,PRKACA,DYRK1A
207,PRKACA,GSK3A
208,PRKACA,GSK3B
209,PRKACA,MAPK3
210,PRKACA,MAPK1
211,PRKACA,AURKA
212,PRKACA,ULK1
213,PRKACA,ULK2
214,PRKACA,MAP3K5
215,PRKACA,MAP2K1
216,PRKACA,MAP2K2
217,PRKACA,EGFR
218,PRKACA,IGF1R
219,PRKACA,RET
220,PRKACA,FYN
221,PRKACA,LRRK2
222,PRKACA,BRAF
223,PDPK1,PRKCE
224,PDPK1,PKN2
225,PDPK1,PKN3
226,PDPK1,RPS6KA3
227,PDPK1,RPS6KA6
228,PDPK1,SGK2
229,PDPK1,SGK3
230,PDPK1,STK32C
231,PDPK1,STK32B
232,PDPK1,STK32A
233,PDPK1,PDK2
234,PDPK1,GSK3A
235,PDPK1,GSK3B
236,PDPK1,MAPK8
237,PDPK1,CHUK
238,PDPK1,PTK2B
239,PDPK1,INSR
240,PDPK1,FYN
241,PDPK1,LCK
242,PDPK1,ILK
243,PDPK1,MAP3K7
244,PRKCA,PRKCD
245,PRKCA,RPS6KA2
246,PRKCA,MTOR
247,PRKCA,PRKD1
248,PRKCA,PRKD2
249,PRKCA,GSK3A
250,PRKCA,MAPK3
251,PRKCA,MAPK1
252,PRKCA,CHUK
253,PRKCA,MAP2K4
254,PRKCA,EGFR
255,PRKCA,PTK2
