,PPI
AKT1*AKT2,974
AKT1*AKT3,822
AKT1*PDPK1,995
AKT1*PRKCB,495
AKT1*PKN2,423
AKT1*EEF2K,408
AKT1*BCR,438
AKT1*BRD4,481
AKT1*PDK1,788
AKT1*PDK2,962
AKT1*PDK4,558
AKT1*ATM,745
AKT1*ATR,436
AKT1*MTOR,999
AKT1*CAMK2A,452
AKT1*CAMK2D,422
AKT1*CHEK1,547
AKT1*STK11,588
AKT1*MARK2,477
AKT1*MAPKAPK2,831
AKT1*PKD1,498
AKT1*PKD2,470
AKT1*TRIB1,401
AKT1*TRIB3,944
AKT1*KALRN,496
AKT1*CDK1,403
AKT1*CDK2,448
AKT1*CDK4,548
AKT1*CDK6,493
AKT1*GSK3A,992
AKT1*GSK3B,996
AKT1*MAPK3,906
AKT1*MAPK1,895
AKT1*MAPK8,642
AKT1*MAPK9,603
AKT1*MAPK10,455
AKT1*SRPK1,547
AKT1*SRPK2,509
AKT1*AURKA,939
AKT1*CSNK2A1,463
AKT1*CHUK,991
AKT1*IKBKB,983
AKT1*TBK1,625
AKT1*PINK1,738
AKT1*EIF2AK3,543
AKT1*PIK3R4,528
AKT1*WEE1,509
AKT1*MAP3K3,411
AKT1*MAP3K5,996
AKT1*MAP3K6,587
AKT1*GCK,549
AKT1*MST1,938
AKT1*STK4,523
AKT1*STK3,604
AKT1*PAK1,987
AKT1*PKN1,442
AKT1*MAP2K1,514
AKT1*MAP2K2,502
AKT1*MAP2K5,466
AKT1*MAP2K7,463
AKT1*MAP2K3,414
AKT1*MAP2K4,934
AKT1*MAP3K8,947
AKT1*MAP3K14,915
AKT1*CSK,684
AKT1*EGFR,794
AKT1*EPHA2,426
AKT1*PTK2,569
AKT1*FGFR1,564
AKT1*FGFR4,433
AKT1*IGF1R,578
AKT1*INSR,942
AKT1*JAK1,931
AKT1*JAK3,925
AKT1*MST1R,957
AKT1*CSF1R,596
AKT1*FLT3,707
AKT1*KIT,758
AKT1*PDGFRA,421
AKT1*PDGFRB,937
AKT1*PTK6,854
AKT1*FYN,819
AKT1*LCK,939
AKT1*LYN,794
AKT1*SRC,985
AKT1*YES1,741
AKT1*TEK,505
AKT1*NTRK1,429
AKT1*KDR,441
AKT1*IRAK1,495
AKT1*IRAK2,454
AKT1*LRRK2,509
AKT1*ILK,996
AKT1*MAP3K11,536
AKT1*BRAF,810
AKT1*RAF1,992
AKT1*ACTR2,490
AKT2*AKT3,813
AKT2*PDPK1,971
AKT2*PDK1,504
AKT2*PDK2,456
AKT2*ATM,485
AKT2*MTOR,979
AKT2*STK11,420
AKT2*TRIB3,915
AKT2*VRK2,502
AKT2*GSK3A,934
AKT2*GSK3B,979
AKT2*MAPK3,890
AKT2*MAPK1,887
AKT2*MAPK8,452
AKT2*MAPK9,408
AKT2*MAPK10,405
AKT2*CHUK,929
AKT2*IKBKB,841
AKT2*MAP3K5,961
AKT2*MAP3K6,547
AKT2*MAP2K1,484
AKT2*MAP2K2,433
AKT2*MAP2K4,856
AKT2*MAP3K8,920
AKT2*MAP3K14,691
AKT2*CSK,412
AKT2*EGFR,447
AKT2*INSR,937
AKT2*KIT,441
AKT2*FYN,758
AKT2*LCK,732
AKT2*LYN,729
AKT2*SRC,793
AKT2*YES1,696
AKT2*ILK,897
AKT2*RAF1,842
AKT3*PDPK1,959
AKT3*ATM,437
AKT3*MTOR,966
AKT3*TRIB3,827
AKT3*GSK3A,937
AKT3*GSK3B,966
AKT3*MAPK3,882
AKT3*MAPK1,881
AKT3*MAPK8,413
