From	To
P31749	AKT1
P31751	AKT2
Q9Y243	AKT3
Q6DT37	CDC42BPG
O75116	ROCK2
Q13464	ROCK1
O14578	CIT
P25098	GRK2
P35626	GRK3
P32298	GRK4
P34947	GRK5
P43250	GRK6
Q15835	GRK1
Q8WTQ7	GRK7
O60307	MAST3
Q6P0Q8	MAST2
Q7Z460	CLASP1
Q9Y2H9	MAST1
Q96GX5	MASTL
O15021	MAST4
Q15208	STK38
O95835	LATS1
Q9NRM7	LATS2
Q9Y2H1	STK38L
P17612	PRKACA
P51817	PRKX
O15530	PDPK1
P17252	PRKCA
P05771	PRKCB
P05129	PRKCG
Q05655	PRKCD
Q02156	PRKCE
Q16513	PKN2
Q6P5Z2	PKN3
O75582	RPS6KA5
O75676	RPS6KA4
Q15418	RPS6KA1
P51812	RPS6KA3
Q15349	RPS6KA2
Q9UK32	RPS6KA6
Q96LW2	RSKR
O00141	SGK1
Q9HBY8	SGK2
Q96BR1	SGK3
Q86UX6	STK32C
Q9NY57	STK32B
Q8WU08	STK32A
Q96D53	COQ8B
Q8NI60	COQ8A
Q86TW2	ADCK1
Q3MIX3	ADCK5
Q7Z695	ADCK2
Q96QT4	TRPM7
Q9BX84	TRPM6
O00418	EEF2K
P11274	BCR
P25440	BRD2
Q15059	BRD3
O60885	BRD4
Q58F21	BRDT
Q14296	FASTK
P49842	STK19
O14874	BCKDK
Q15118	PDK1
Q15119	PDK2
Q15120	PDK3
Q16654	PDK4
Q13315	ATM
Q13535	ATR
Q9H6X2	ANTXR1
P42345	MTOR
Q96Q15	SMG1
Q9Y4A5	TRRAP
Q9BRS2	RIOK1
Q9BVS4	RIOK2
O14730	RIOK3
P21675	TAF1
Q8IZX4	TAF1L
O15164	TRIM24
Q13263	TRIM28
Q9UPN9	TRIM33
Q96NX5	CAMK1G
Q16566	CAMK4
Q8IU85	CAMK1D
Q9UQM7	CAMK2A
Q13554	CAMK2B
Q13555	CAMK2G
Q13557	CAMK2D
Q8IWQ3	BRSK2
Q8TDC3	BRSK1
O14757	CHEK1
P57058	HUNK
Q15831	STK11
P27448	MARK3
Q7KZI7	MARK2
Q9P0L2	MARK1
Q96L34	MARK4
Q14680	MELK
Q8IY84	NIM1K
O60285	NUAK1
Q9H093	NUAK2
Q96RG2	PASK
Q9Y2K2	SIK3
Q9H0K1	SIK2
P57059	SIK1
Q9NRH2	SNRK
Q9BYT3	STK33
Q8N2I9	STK40
O14936	CASK
P07498	CSN3
P53355	DAPK1
Q9UIK4	DAPK2
Q9UEE5	STK17A
O94768	STK17B
O43293	DAPK3
O15075	DCLK1
Q9C098	DCLK3
Q8N568	DCLK2
P49137	MAPKAPK2
Q16644	MAPKAPK3
Q8IW41	MAPKAPK5
Q9BUB5	MKNK1
Q9HBH9	MKNK2
Q8WZ42	TTN
Q86YV6	MYLK4
Q16816	PHKG1
P15735	PHKG2
Q86V86	PIM3
P11309	PIM1
Q9P1W9	PIM2
P98161	PKD1
Q15139	PRKD1
Q13563	PKD2
Q9BZL6	PRKD2
P11801	PSKH1
Q96QS6	PSKH2
O96017	CHEK2
Q96RU8	TRIB1
Q92519	TRIB2
Q96RU7	TRIB3
O75962	TRIO
O60229	KALRN
Q15772	SPEG
Q96PN8	TSSK3
Q96PF2	TSSK2
Q9BXA6	TSSK6
Q6SA08	TSSK4
Q9BXA7	TSSK1B
P78368	CSNK1G2
Q6IQ55	TTBK2
Q5TCY1	TTBK1
Q99986	VRK1
Q86Y07	VRK2
Q8IV63	VRK3
P06493	CDK1
P24941	CDK2
Q00526	CDK3
Q15131	CDK10
P11802	CDK4
Q00534	CDK6
Q00535	CDK5
P50613	CDK7
P49336	CDK8
P21127	CDK11B
Q9BWU1	CDK19
P50750	CDK9
Q14004	CDK13
Q9NYV4	CDK12
Q00536	CDK16
Q00537	CDK17
Q07002	CDK18
Q8IZL9	CDK20
Q92772	CDKL2
Q00532	CDKL1
O76039	CDKL5
Q5MAI5	CDKL4
Q8IVW4	CDKL3
P49759	CLK1
P49760	CLK2
P49761	CLK3
Q9HAZ1	CLK4
Q9Y463	DYRK1B
Q13627	DYRK1A
Q92630	DYRK2
Q9NR20	DYRK4
O43781	DYRK3
Q86Z02	HIPK1
Q9H422	HIPK3
Q9H2X6	HIPK2
Q8NE63	HIPK4
O43172	PRPF4
Q13523	PRPF4B
P49840	GSK3A
P49841	GSK3B
P27361	MAPK3
P28482	MAPK1
Q16659	MAPK6
P31152	MAPK4
Q13164	MAPK7
Q8TD08	MAPK15
P45983	MAPK8
P45984	MAPK9
P53779	MAPK10
Q9UBE8	NLK
P20794	MAK
Q96L96	ALPK3
Q9UPZ9	CILK1
Q9UQ07	MOK
Q96SB4	SRPK1
P78362	SRPK2
Q9UPE1	SRPK3
O14965	AURKA
O60566	BUB1B
O43683	BUB1
Q96S44	TP53RK
Q96RR4	CAMKK2
Q8N5S9	CAMKK1
O00311	CDC7
P68400	CSNK2A1
P19784	CSNK2A2
Q8TF76	HASPIN
O15111	CHUK
O14920	IKBKB
Q14164	IKBKE
Q9UHD2	TBK1
O75460	ERN1
Q76MJ5	ERN2
P00540	MOS
O14976	GAK
Q2M2I8	AAK1
O75716	STK16
Q9NSY1	BMP2K
Q96PY6	NEK1
P51955	NEK2
P51956	NEK3
P51957	NEK4
Q9HC98	NEK6
Q8TDX7	NEK7
Q86SG6	NEK8
Q8TD19	NEK9
Q6P3R8	NEK5
Q8NG66	NEK11
Q6ZWH5	NEK10
P0C263	SBK2
P0C264	SBK3
Q9BXM7	PINK1
Q86YV5	PRAG1
Q8N165	PDIK1L
Q8TDR2	STK35
Q8IWB6	TEX14
Q9UHY1	NRBP1
Q9NSY0	NRBP2
Q504Y2	PKDCC
Q6XUX3	DSTYK
Q8NE28	STKLD1
Q9H5K3	POMK
Q9BXU1	STK31
Q8TAS1	UHMK1
Q05823	RNASEL
Q9P2K8	EIF2AK4
Q9NZJ5	EIF2AK3
P19525	EIF2AK2
Q9BQI3	EIF2AK1
P53350	PLK1
Q9H4B4	PLK3
O00444	PLK4
Q9NYY3	PLK2
Q96KG9	SCYL1
Q8IZE3	SCYL3
Q6P3W7	SCYL2
Q8TEA7	TBCK
Q9UKI8	TLK1
Q86UE8	TLK2
Q96KB5	PBK
P33981	TTK
O75385	ULK1
Q8IYT8	ULK2
Q6PHR2	ULK3
Q96C45	ULK4
Q99570	PIK3R4
Q01538	MYT1
Q99640	PKMYT1
P30291	WEE1
P0C1S8	WEE2
Q9Y3S1	WNK2
Q9H4A3	WNK1
Q96J92	WNK4
Q9BYP7	WNK3
Q13233	MAP3K1
Q9Y2U5	MAP3K2
Q99759	MAP3K3
Q9Y6R4	MAP3K4
Q99683	MAP3K5
O95382	MAP3K6
O95747	OXSR1
Q8TAX0	OSR1
P35557	GCK
Q12851	MAP4K2
Q92918	MAP4K1
P26927	MST1
Q13043	STK4
Q13188	STK3
Q8WXR4	MYO3B
Q8NEV4	MYO3A
Q13153	PAK1
Q16512	PKN1
Q13177	PAK2
O75914	PAK3
O96013	PAK4
Q9NQU5	PAK6
Q9P286	PAK5
Q9H2G2	SLK
O94804	STK10
Q9Y6E0	STK24
O00506	STK25
Q9P289	STK26
Q02750	MAP2K1
P36507	MAP2K2
Q13163	MAP2K5
P52564	MAP2K6
O14733	MAP2K7
P46734	MAP2K3
P45985	MAP2K4
P41279	MAP3K8
Q9UKG9	CROT
O95819	MAP4K4
Q99558	MAP3K14
P00519	ABL1
P42684	ABL2
Q9P2R6	RERE
Q13470	TNK1
Q9UM73	ALK
P29376	LTK
P30530	AXL
Q12866	MERTK
Q06418	TYRO3
Q13308	PTK7
P41240	CSK
P42679	MATK
Q08345	DDR1
Q16832	DDR2
P00533	EGFR
P21709	EPHA1
P29317	EPHA2
P29320	EPHA3
P54764	EPHA4
P54756	EPHA5
P29322	EPHA8
P54762	EPHB1
P29323	EPHB2
P54753	EPHB3
P54760	EPHB4
O15197	EPHB6
Q15375	EPHA7
Q5JZY3	EPHA10
Q9UF33	EPHA6
Q05397	PTK2
Q14289	PTK2B
P16591	FER
P07332	FES
P11362	FGFR1
P21802	FGFR2
P22607	FGFR3
P22455	FGFR4
P08069	IGF1R
P06213	INSR
P14616	INSRR
P23458	JAK1
O60674	JAK2
P52333	JAK3
P29597	TYK2
Q6ZMQ8	AATK
Q8IWU2	LMTK2
P08581	MET
Q9NWH9	SLTM
Q04912	MST1R
O15146	MUSK
P07333	CSF1R
P36888	FLT3
P10721	KIT
P16234	PDGFRA
P09619	PDGFRB
P07949	RET
Q01973	ROR1
Q01974	ROR2
P34925	RYK
P08922	ROS1
P51451	BLK
Q13882	PTK6
P09769	FGR
P06241	FYN
P08631	HCK
P06239	LCK
P07948	LYN
P12931	SRC
P07947	YES1
P42685	FRK
P19623	SRM
P43405	SYK
P43403	ZAP70
Q06187	BTK
Q08881	ITK
P42680	TEC
Q92570	NR4A3
P42681	TXK
P51813	BMX
Q02763	TEK
P35590	TIE1
P04629	NTRK1
Q16620	NTRK2
Q16288	NTRK3
P17948	FLT1
P35916	FLT4
P35968	KDR
P51617	IRAK1
O43187	IRAK2
Q9Y616	IRAK3
Q9NWZ3	IRAK4
P53671	LIMK2
P53667	LIMK1
Q15569	TESK1
Q96S53	TESK2
Q5S007	LRRK2
Q38SD2	LRRK1
Q13418	ILK
P80370	DLK1
O43283	MAP3K13
P80192	MAP3K9
Q02779	MAP3K10
Q16584	MAP3K11
Q9NYL2	MAP3K20
Q5TCX8	MAP3K21
