,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AKT1,-0.6079241,0.6100552,-0.28508794,-0.2036383,0.85909766,0.4081098,0.9994328,0.032701455,0.544129,-0.19436528,0.016191326,0.49139613,-0.5866799,-0.69245714,0.037612367,0.50775534
AKT2,-0.5065118,0.76155,0.88537544,0.552965,1.6949042,0.10856574,0.6736668,-0.10824089,-0.10565403,1.0872021,-0.9158739,-0.18579583,-0.51244223,-0.78798276,0.28604037,1.1328613
AKT3,0.31379998,0.5376529,0.4597537,0.400461,0.3606451,0.20207487,0.89971656,0.6885189,0.39971313,0.5521129,0.116394304,0.09072291,0.1337927,-1.6937138,0.23602308,0.38652578
PDPK1,-0.43184802,0.026374197,0.6281741,0.550229,0.022869423,-0.64726955,1.265898,0.5350402,0.37717092,0.16158666,-0.7437616,-1.0865785,0.1091686,-0.9441474,0.5272208,0.641994
PRKCB,-0.18423371,-0.5373582,0.5707824,0.84387755,0.22746108,-0.016780345,0.97361726,0.45059335,0.14277793,0.06952748,-0.7105725,0.06916608,-0.09311381,-0.8148521,-0.13826519,0.017476134
PKN2,-0.03315498,-0.07633392,0.19892,0.47699788,0.9814498,-0.6495299,1.7647535,0.17646237,0.43873876,-0.5994789,-0.095218934,0.668738,-1.0965073,-0.7643046,-0.09940858,0.60996425
EEF2K,-0.42212087,-0.76976126,0.65447444,-1.2190888,0.07303216,-0.19023287,1.4306194,0.3576724,-0.39223224,-0.087765984,-1.2385305,-1.081118,-0.34686553,-1.1755828,0.5551222,0.29793626
BCR,-0.44467795,0.94642055,0.47082612,0.7172097,1.6297671,1.3452605,0.61461323,-0.04748218,0.3895569,0.6672607,-0.7401636,0.6537103,-0.66083646,-0.41192707,-1.0498183,-0.19272088
BRD4,-0.12334072,-0.052729107,-0.17450145,0.21117248,1.7369902,0.38895828,0.80552876,0.8468148,0.52841794,1.164438,0.5101007,-0.25857556,0.87465215,0.40479442,0.0056194086,0.3702051
PDK1,0.46315256,0.07311053,0.16289769,-1.3949214,1.4227803,0.20450592,0.7724874,0.47418696,0.8809565,-1.7263377,-0.087622784,-0.7670858,0.5697038,-0.6177802,-0.3764948,1.9924121
PDK2,-0.06829621,0.24246244,0.938073,-0.3188495,0.42826444,0.089403,0.78985846,0.46208727,1.0875516,0.35211194,-0.20636827,-0.7760857,0.5081309,-0.9030151,-0.6393788,0.2812897
