ENSG00000105939	ZC3HAV1
ENSG00000086758	HUWE1
ENSG00000058404	CAMK2B
ENSG00000120896	SORBS3
ENSG00000141425	RPRD1A
ENSG00000176473	WDR25
ENSG00000105662	CRTC1
ENSG00000101745	ANKRD12
ENSG00000108256	NUFIP2
ENSG00000124380	SNRNP27
ENSG00000063245	EPN1
ENSG00000137337	MDC1
ENSG00000158352	SHROOM4
ENSG00000102699	PARP4
ENSG00000100764	PSMC1
ENSG00000136153	LMO7
ENSG00000070814	TCOF1
ENSG00000277363	SRCIN1
ENSG00000174996	KLC2
ENSG00000163697	APBB2
ENSG00000167978	SRRM2
ENSG00000100503	NIN
ENSG00000114650	SCAP
ENSG00000154783	FGD5
ENSG00000088325	TPX2
ENSG00000177469	CAVIN1
ENSG00000116991	SIPA1L2
ENSG00000261150	EPPK1
ENSG00000072786	STK10
ENSG00000118900	UBN1
ENSG00000148396	SEC16A
ENSG00000141027	NCOR1
ENSG00000149115	TNKS1BP1
ENSG00000160633	SAFB
ENSG00000124429	POF1B
ENSG00000130701	RBBP8NL
ENSG00000186566	GPATCH8
ENSG00000163539	CLASP2
ENSG00000056586	RC3H2
ENSG00000008130	NADK
ENSG00000275342	PRAG1
ENSG00000132330	SCLY
ENSG00000133106	EPSTI1
ENSG00000163848	ZNF148
ENSG00000148426	PROSER2
ENSG00000002822	MAD1L1
ENSG00000125779	PANK2
ENSG00000113360	DROSHA
ENSG00000166444	ST5
ENSG00000107404	DVL1
ENSG00000157500	APPL1
ENSG00000078061	ARAF
ENSG00000003393	ALS2
ENSG00000117724	CENPF
ENSG00000155506	LARP1
ENSG00000153006	SREK1IP1
ENSG00000262246	CORO7
ENSG00000101868	POLA1
ENSG00000115524	SF3B1
ENSG00000154310	TNIK
ENSG00000133895	MEN1
ENSG00000116991	SIPA1L2
ENSG00000213639	PPP1CB
ENSG00000196872	KIAA1211L
ENSG00000163811	WDR43
ENSG00000111961	SASH1
ENSG00000177106	EPS8L2
ENSG00000128591	FLNC
ENSG00000152291	TGOLN2
ENSG00000184281	TSSC4
ENSG00000172995	ARPP21
ENSG00000070882	OSBPL3
ENSG00000211592	IGKC
ENSG00000106617	PRKAG2
ENSG00000047579	DTNBP1
ENSG00000057704	TMCC3
ENSG00000184731	FAM110C
ENSG00000173575	CHD2
ENSG00000095319	NUP188
ENSG00000104714	ERICH1
ENSG00000172403	SYNPO2
ENSG00000185658	BRWD1
ENSG00000167460	TPM4
ENSG00000067369	TP53BP1
ENSG00000171475	WIPF2
ENSG00000177954	RPS27
ENSG00000163166	IWS1
ENSG00000132394	EEFSEC
ENSG00000092199	HNRNPC
ENSG00000155506	LARP1
ENSG00000130779	CLIP1
ENSG00000137177	KIF13A
ENSG00000100304	TTLL12
ENSG00000100285	NEFH
ENSG00000141699	RETREG3
ENSG00000111647	UHRF1BP1L
ENSG00000197081	IGF2R
ENSG00000085563	ABCB1
ENSG00000162522	KIAA1522
ENSG00000152520	PAN3
ENSG00000198792	TMEM184B
ENSG00000183963	SMTN
ENSG00000105220	GPI
ENSG00000197555	SIPA1L1
ENSG00000114790	ARHGEF26
ENSG00000187678	SPRY4
ENSG00000090061	CCNK
ENSG00000140259	MFAP1
ENSG00000151150	ANK3
ENSG00000085224	ATRX
ENSG00000138434	SSFA2
ENSG00000146247	PHIP
ENSG00000112977	DAP
ENSG00000089199	CHGB
ENSG00000115524	SF3B1
ENSG00000157985	AGAP1
ENSG00000140332	TLE3
ENSG00000182463	TSHZ2
ENSG00000139926	FRMD6
ENSG00000050327	ARHGEF5
ENSG00000171560	FGA
ENSG00000123066	MED13L
ENSG00000126705	AHDC1
ENSG00000156697	UTP14A
ENSG00000139697	SBNO1
ENSG00000115355	CCDC88A
ENSG00000031823	RANBP3
ENSG00000204463	BAG6
ENSG00000171988	JMJD1C
ENSG00000031081	ARHGAP31
ENSG00000119866	BCL11A
ENSG00000184363	PKP3
ENSG00000073910	FRY
ENSG00000143702	CEP170
ENSG00000165476	REEP3
ENSG00000102858	MGRN1
ENSG00000205542	TMSB4X
ENSG00000137699	TRIM29
