ENSG00000148384.13	INPP5E
ENSG00000153253.18	SCN3A
ENSG00000135108.14	FBXO21
ENSG00000214814.7	FER1L6
ENSG00000197747.9	S100A10
ENSG00000070759.17	TESK2
ENSG00000107960.11	STN1
ENSG00000196510.12	ANAPC7
ENSG00000173894.11	CBX2
ENSG00000081059.20	TCF7
ENSG00000137265.15	IRF4
ENSG00000086205.18	FOLH1
ENSG00000101882.10	NKAP
ENSG00000211938.2	IGHV3-7
ENSG00000267467.4	APOC4
ENSG00000253305.2	PCDHGB6
ENSG00000185950.9	IRS2
ENSG00000186654.21	PRR5
ENSG00000010295.19	IFFO1
ENSG00000048649.13	RSF1
ENSG00000139410.15	SDSL
ENSG00000067842.17	ATP2B3
ENSG00000180336.18	MEIOC
ENSG00000133773.12	CCDC59
ENSG00000204348.10	DXO
ENSG00000214253.9	FIS1
ENSG00000163347.6	CLDN1
ENSG00000086475.15	SEPHS1
ENSG00000125962.14	ARMCX5
ENSG00000206562.11	METTL6
ENSG00000083097.14	DOPEY1
ENSG00000185236.12	RAB11B
ENSG00000113811.11	SELENOK
ENSG00000096654.15	ZNF184
ENSG00000154330.13	PGM5
ENSG00000100219.16	XBP1
ENSG00000135929.9	CYP27A1
ENSG00000232112.3	TMA7
ENSG00000137094.14	DNAJB5
ENSG00000151366.13	NDUFC2
ENSG00000128573.26	FOXP2
ENSG00000110203.9	FOLR3
ENSG00000186818.12	LILRB4
ENSG00000099377.14	HSD3B7
ENSG00000156395.13	SORCS3
ENSG00000126970.16	ZC4H2
ENSG00000111445.14	RFC5
ENSG00000164008.16	C1orf50
ENSG00000166971.17	AKTIP
ENSG00000176182.6	MYPOP
ENSG00000196152.10	ZNF79
ENSG00000108239.9	TBC1D12
ENSG00000091127.14	PUS7
ENSG00000144468.17	RHBDD1
ENSG00000167461.12	RAB8A
ENSG00000169902.15	TPST1
ENSG00000108055.10	SMC3
ENSG00000160959.8	LRRC14
ENSG00000109572.14	CLCN3
ENSG00000091039.17	OSBPL8
ENSG00000255398.3	HCAR3
ENSG00000128487.16	SPECC1
ENSG00000186318.16	BACE1
ENSG00000171456.20	ASXL1
ENSG00000243056.2	EIF4EBP3
ENSG00000140297.13	GCNT3
ENSG00000204472.13	AIF1
ENSG00000177807.10	KCNJ10
ENSG00000113387.12	SUB1
ENSG00000158186.13	MRAS
ENSG00000197872.11	FAM49A
ENSG00000088970.16	KIZ
ENSG00000106538.10	RARRES2
ENSG00000239474.7	KLHL41
ENSG00000253626.3	EIF5AL1
ENSG00000166863.12	TAC3
ENSG00000171388.12	APLN
ENSG00000151617.17	EDNRA
ENSG00000123570.4	RAB9B
ENSG00000263155.6	MYZAP
ENSG00000163159.14	VPS72
ENSG00000128595.17	CALU
ENSG00000170852.11	KBTBD2
ENSG00000165272.16	AQP3
ENSG00000075239.14	ACAT1
ENSG00000150510.17	FAM124A
ENSG00000051341.14	POLQ
ENSG00000124479.11	NDP
ENSG00000198909.8	MAP3K3
ENSG00000240849.11	TMEM189
ENSG00000167984.18	NLRC3
ENSG00000153406.13	NMRAL1
ENSG00000105676.14	ARMC6
ENSG00000130402.12	ACTN4
ENSG00000198804.2	MT-CO1
ENSG00000130307.12	USHBP1
ENSG00000183644.13	C11orf88
ENSG00000056558.11	TRAF1
ENSG00000164169.13	PRMT9
ENSG00000185989.11	RASA3
ENSG00000164403.14	SHROOM1
ENSG00000178882.15	RFLNA
ENSG00000169313.10	P2RY12
ENSG00000140853.15	NLRC5
ENSG00000167005.14	NUDT21
ENSG00000173442.13	EHBP1L1
ENSG00000111540.16	RAB5B
ENSG00000139926.16	FRMD6
ENSG00000092051.17	JPH4
ENSG00000129422.14	MTUS1
ENSG00000019991.18	HGF
ENSG00000156219.16	ART3
ENSG00000085276.19	MECOM
ENSG00000160255.18	ITGB2
ENSG00000119820.11	YIPF4
ENSG00000125485.17	DDX31
ENSG00000196653.12	ZNF502
ENSG00000170180.22	GYPA
ENSG00000123560.14	PLP1
ENSG00000138688.15	KIAA1109
ENSG00000011258.16	MBTD1
ENSG00000122733.12	PHF24
ENSG00000185324.22	CDK10
ENSG00000103528.17	SYT17
ENSG00000176945.17	MUC20
ENSG00000186847.6	KRT14
ENSG00000117000.9	RLF
ENSG00000154380.17	ENAH
ENSG00000129103.18	SUMF2
ENSG00000152223.15	EPG5
ENSG00000100601.10	ALKBH1
ENSG00000196683.10	TOMM7
ENSG00000167207.13	NOD2
ENSG00000215041.10	NEURL4
ENSG00000140093.10	SERPINA10
ENSG00000198646.14	NCOA6
ENSG00000157538.14	VPS26C
ENSG00000145860.11	RNF145
ENSG00000198585.12	NUDT16
ENSG00000128052.10	KDR
ENSG00000166924.9	NYAP1
ENSG00000165810.17	BTNL9
ENSG00000096006.11	CRISP3
ENSG00000136826.15	KLF4
ENSG00000066248.15	NGEF
ENSG00000186834.4	HEXIM1
ENSG00000100722.20	ZC3H14
ENSG00000105556.11	MIER2
ENSG00000177374.13	HIC1
ENSG00000178726.7	THBD
ENSG00000146678.10	IGFBP1
ENSG00000197077.13	KIAA1671
ENSG00000162377.6	COA7
ENSG00000186871.7	ERCC6L
ENSG00000126934.14	MAP2K2
ENSG00000138079.14	SLC3A1
ENSG00000120251.20	GRIA2
ENSG00000106415.13	GLCCI1
ENSG00000143252.15	SDHC
ENSG00000090520.11	DNAJB11
ENSG00000197223.11	C1D
ENSG00000167535.8	CACNB3
ENSG00000085563.15	ABCB1
ENSG00000089597.18	GANAB
ENSG00000166689.16	PLEKHA7
ENSG00000213341.11	CHUK
ENSG00000156096.14	UGT2B4
ENSG00000068912.14	ERLEC1
ENSG00000161920.11	MED11
ENSG00000129245.12	FXR2
ENSG00000211893.4	IGHG2
ENSG00000143514.17	TP53BP2
ENSG00000147724.12	FAM135B
ENSG00000164631.19	ZNF12
ENSG00000115112.8	TFCP2L1
ENSG00000149679.11	CABLES2
ENSG00000133048.13	CHI3L1
ENSG00000042088.14	TDP1
ENSG00000139233.7	LLPH
ENSG00000005007.13	UPF1
ENSG00000139624.14	CERS5
ENSG00000152683.14	SLC30A6
ENSG00000168958.20	MFF
ENSG00000136404.16	TM6SF1
ENSG00000101150.17	TPD52L2
ENSG00000136717.15	BIN1
ENSG00000148057.16	IDNK
ENSG00000155621.15	C9orf85
ENSG00000171747.9	LGALS4
ENSG00000185561.10	TLCD2
ENSG00000138449.11	SLC40A1
ENSG00000112208.11	BAG2
ENSG00000127526.15	SLC35E1
ENSG00000120278.16	PLEKHG1
ENSG00000136888.7	ATP6V1G1
ENSG00000141337.12	ARSG
ENSG00000152944.9	MED21
ENSG00000153936.17	HS2ST1
ENSG00000169689.15	CENPX
ENSG00000241404.7	EGFL8
ENSG00000114686.9	MRPL3
ENSG00000173432.12	SAA1
ENSG00000167202.11	TBC1D2B
ENSG00000240764.4	PCDHGC5
ENSG00000103485.19	QPRT
ENSG00000137876.10	RSL24D1
ENSG00000167004.13	PDIA3
ENSG00000204256.13	BRD2
ENSG00000052749.14	RRP12
ENSG00000066405.13	CLDN18
ENSG00000196372.13	ASB13
ENSG00000182327.8	GLTPD2
ENSG00000197043.14	ANXA6
ENSG00000138604.10	GLCE
ENSG00000073464.12	CLCN4
ENSG00000165113.13	GKAP1
ENSG00000106004.5	HOXA5
ENSG00000066279.18	ASPM
ENSG00000092758.18	COL9A3
ENSG00000122386.10	ZNF205
ENSG00000141376.22	BCAS3
ENSG00000113739.10	STC2
ENSG00000141527.18	CARD14
ENSG00000164434.12	FABP7
ENSG00000121644.19	DESI2
ENSG00000181378.14	CFAP65
ENSG00000196154.12	S100A4
ENSG00000171428.14	NAT1
ENSG00000153391.15	INO80C
ENSG00000196363.9	WDR5
ENSG00000126603.8	GLIS2
ENSG00000136631.15	VPS45
ENSG00000167085.11	PHB
ENSG00000196935.9	SRGAP1
ENSG00000128536.16	CDHR3
ENSG00000116260.17	QSOX1
ENSG00000103121.9	CMC2
ENSG00000177169.10	ULK1
ENSG00000168137.18	SETD5
ENSG00000148634.15	HERC4
ENSG00000205129.8	C4orf47
ENSG00000154025.15	SLC5A10
ENSG00000170537.13	TMC7
ENSG00000158516.12	CPA2
ENSG00000110330.8	BIRC2
ENSG00000053501.13	USE1
ENSG00000143632.14	ACTA1
ENSG00000010322.16	NISCH
ENSG00000129680.16	MAP7D3
ENSG00000242616.4	GNG10
ENSG00000100170.10	SLC5A1
ENSG00000150764.14	DIXDC1
ENSG00000171466.10	ZNF562
ENSG00000137731.14	FXYD2
ENSG00000162755.14	KLHDC9
ENSG00000150667.8	FSIP1
ENSG00000105928.16	GSDME
ENSG00000269313.5	MAGIX
ENSG00000006695.12	COX10
ENSG00000079435.10	LIPE
ENSG00000141279.16	NPEPPS
ENSG00000143036.17	SLC44A3
ENSG00000119414.11	PPP6C
ENSG00000179813.7	FAM216B
ENSG00000105290.13	APLP1
ENSG00000119421.7	NDUFA8
ENSG00000002745.13	WNT16
ENSG00000183230.17	CTNNA3
ENSG00000103043.15	VAC14
ENSG00000188191.15	PRKAR1B
ENSG00000118162.14	KPTN
ENSG00000171759.10	PAH
ENSG00000140396.13	NCOA2
ENSG00000118113.12	MMP8
ENSG00000148824.19	MTG1
ENSG00000141741.12	MIEN1
ENSG00000111802.14	TDP2
ENSG00000127337.7	YEATS4
ENSG00000196700.9	ZNF512B
ENSG00000114631.11	PODXL2
ENSG00000111341.10	MGP
ENSG00000179292.5	TMEM151A
ENSG00000213722.9	DDAH2
ENSG00000259261.2	IGHV4OR15-8
ENSG00000108091.11	CCDC6
ENSG00000128245.15	YWHAH
ENSG00000183808.11	RBM12B
ENSG00000149021.7	SCGB1A1
ENSG00000177427.13	MIEF2
ENSG00000166025.18	AMOTL1
ENSG00000168288.13	MMADHC
ENSG00000093217.11	XYLB
ENSG00000101311.15	FERMT1
ENSG00000162490.7	DRAXIN
ENSG00000066455.13	GOLGA5
ENSG00000113600.11	C9
ENSG00000261371.6	PECAM1
ENSG00000203782.6	LOR
ENSG00000154222.14	CC2D1B
ENSG00000078246.17	TULP3
ENSG00000108669.16	CYTH1
ENSG00000165661.17	QSOX2
ENSG00000154639.19	CXADR
ENSG00000138398.16	PPIG
ENSG00000140829.12	DHX38
