From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A075B6Q4	A0A075B6Q4	unreviewed	A0A075B6Q4_HUMAN	Protein LTV1 homolog		Homo sapiens (Human)	140
A0A075B6T3	A0A075B6T3	unreviewed	A0A075B6T3_HUMAN	Uncharacterized protein		Homo sapiens (Human)	26
A0A075B759	A0A075B759	reviewed	PAL4E_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4E, PPIase A-like 4E, EC 5.2.1.8	PPIAL4E	Homo sapiens (Human)	164
A0A087WTJ2	A0A087WTJ2	unreviewed	A0A087WTJ2_HUMAN	GIMAP1-GIMAP5 readthrough	GIMAP1-GIMAP5	Homo sapiens (Human)	511
A0A087WV96	A0A087WV96	unreviewed	A0A087WV96_HUMAN	Cytochrome P450 3A, EC 1.14.14.-	CYP3A7-CYP3A51P	Homo sapiens (Human)	503
A0A087WZ62	A0A087WZ62	unreviewed	A0A087WZ62_HUMAN	Mannosyltransferase, EC 2.4.1.-		Homo sapiens (Human)	844
A0A087WZG4	A0A087WZG4	unreviewed	A0A087WZG4_HUMAN	Rho guanine nucleotide exchange factor 18	ARHGEF18	Homo sapiens (Human)	1173
A0A087X0R7	A0A087X0R7	unreviewed	A0A087X0R7_HUMAN	SENP3-EIF4A1 readthrough (NMD candidate)	SENP3-EIF4A1	Homo sapiens (Human)	540
A0A096LP49	A0A096LP49	reviewed	CC187_HUMAN	Coiled-coil domain-containing protein 187	CCDC187	Homo sapiens (Human)	1063
A0A096LP55	A0A096LP55	reviewed	QCR6L_HUMAN	Cytochrome b-c1 complex subunit 6-like, mitochondrial	UQCRHL	Homo sapiens (Human)	91
A0A096LPH7	A0A096LPH7	unreviewed	A0A096LPH7_HUMAN	TRAPPC10 domain-containing protein		Homo sapiens (Human)	203
A0A0A0MRY4	A0A0A0MRY4	unreviewed	A0A0A0MRY4_HUMAN	Uncharacterized protein		Homo sapiens (Human)	1105
A0A0A6YYC7	A0A0A6YYC7	unreviewed	A0A0A6YYC7_HUMAN	HCG2042749, isoform CRA_d (Protein ZFP91-CNTF)	ZFP91-CNTF hCG_2042749	Homo sapiens (Human)	529
A0A0A6YYH1	A0A0A6YYH1	unreviewed	A0A0A6YYH1_HUMAN	Arpin	C15orf38-AP3S2	Homo sapiens (Human)	394
A0A0A6YYK5	A0A0A6YYK5	unreviewed	A0A0A6YYK5_HUMAN	Uncharacterized protein		Homo sapiens (Human)	440
A0A0A6YYL0	A0A0A6YYL0	unreviewed	A0A0A6YYL0_HUMAN	Protein TGIF2-C20orf24	TGIF2-C20orf24	Homo sapiens (Human)	155
A0A0A6YYL6	A0A0A6YYL6	unreviewed	A0A0A6YYL6_HUMAN	60S ribosomal protein L17	RPL17-C18orf32	Homo sapiens (Human)	228
A0A0B4J1R7	A0A0B4J1R7	unreviewed	A0A0B4J1R7_HUMAN	BLOC-1-related complex subunit 7	BORCS7-ASMT	Homo sapiens (Human)	106
A0A0B4J1V8	A0A0B4J1V8	unreviewed	A0A0B4J1V8_HUMAN	HCG2039996 (PPAN-P2RY11 readthrough)	PPAN-P2RY11 hCG_2039996	Homo sapiens (Human)	794
A0A0B4J203	A0A0B4J203	unreviewed	A0A0B4J203_HUMAN	Pre-mRNA 3'-end-processing factor FIP1, EC 2.7.10.1 (FIP1-like 1 protein)		Homo sapiens (Human)	849
A0A0B4J269	A0A0B4J269	unreviewed	A0A0B4J269_HUMAN	G_PROTEIN_RECEP_F1_2 domain-containing protein		Homo sapiens (Human)	797
A0A0B4J279	A0A0B4J279	reviewed	TVA21_HUMAN	T cell receptor alpha variable 21	TRAV21	Homo sapiens (Human)	112
