From	To
P31749	9606.ENSP00000451828
P31751	9606.ENSP00000375892
Q9Y243	9606.ENSP00000263826
Q6DT37	9606.ENSP00000345133
O75116	9606.ENSP00000317985
Q13464	9606.ENSP00000382697
O14578	9606.ENSP00000376306
P25098	9606.ENSP00000312262
P35626	9606.ENSP00000317578
P32298	9606.ENSP00000381129
P34947	9606.ENSP00000376609
P43250	9606.ENSP00000433511
Q15835	9606.ENSP00000334876
Q8WTQ7	9606.ENSP00000264952
O60307	9606.ENSP00000262811
Q6P0Q8	9606.ENSP00000354671
Q7Z460	9606.ENSP00000263710
Q9Y2H9	9606.ENSP00000251472
Q96GX5	9606.ENSP00000365107
O15021	9606.ENSP00000385727
Q15208	9606.ENSP00000229812
O95835	9606.ENSP00000437550
Q9NRM7	9606.ENSP00000372035
Q9Y2H1	9606.ENSP00000373684
P17612	9606.ENSP00000309591
P51817	9606.ENSP00000262848
O15530	9606.ENSP00000344220
P17252	9606.ENSP00000408695
P05771	9606.ENSP00000305355
P05129	9606.ENSP00000263431
Q05655	9606.ENSP00000378217
Q02156	9606.ENSP00000306124
Q16513	9606.ENSP00000359552
Q6P5Z2	9606.ENSP00000291906
O75582	9606.ENSP00000479667
O75676	9606.ENSP00000333896
Q15418	9606.ENSP00000435412
P51812	9606.ENSP00000368884
Q15349	9606.ENSP00000427015
Q9UK32	9606.ENSP00000262752
Q96LW2	9606.ENSP00000301037
O00141	9606.ENSP00000356832
Q9HBY8	9606.ENSP00000340608
Q96BR1	9606.ENSP00000429022
Q86UX6	9606.ENSP00000298630
Q9NY57	9606.ENSP00000282908
Q8WU08	9606.ENSP00000381535
Q96D53	9606.ENSP00000315118
Q8NI60	9606.ENSP00000355741
Q86TW2	9606.ENSP00000238561
Q3MIX3	9606.ENSP00000310547
Q7Z695	9606.ENSP00000072869
Q96QT4	9606.ENSP00000320239
Q9BX84	9606.ENSP00000354006
O00418	9606.ENSP00000263026
P11274	9606.ENSP00000303507
P25440	9606.ENSP00000378704
Q15059	9606.ENSP00000305918
O60885	9606.ENSP00000263377
Q58F21	9606.ENSP00000387822
Q14296	9606.ENSP00000297532
P49842	9606.ENSP00000364482
O14874	9606.ENSP00000378405
Q15118	9606.ENSP00000376352
Q15119	9606.ENSP00000420927
Q15120	9606.ENSP00000387536
Q16654	9606.ENSP00000005178
Q13315	9606.ENSP00000278616
Q13535	9606.ENSP00000343741
Q9H6X2	9606.ENSP00000301945
P42345	9606.ENSP00000354558
Q96Q15	9606.ENSP00000402515
Q9Y4A5	9606.ENSP00000352925
Q9BRS2	9606.ENSP00000369162
Q9BVS4	9606.ENSP00000283109
O14730	9606.ENSP00000341874
P21675	9606.ENSP00000406549
Q8IZX4	9606.ENSP00000418379
O15164	9606.ENSP00000340507
Q13263	9606.ENSP00000253024
Q9UPN9	9606.ENSP00000351250
Q96NX5	9606.ENSP00000009105
Q16566	9606.ENSP00000282356
Q8IU85	9606.ENSP00000478874
Q9UQM7	9606.ENSP00000381412
Q13554	9606.ENSP00000379098
Q13555	9606.ENSP00000319060
Q13557	9606.ENSP00000339740
Q8IWQ3	9606.ENSP00000371614
Q8TDC3	9606.ENSP00000310649
O14757	9606.ENSP00000388648
P57058	9606.ENSP00000270112
Q15831	9606.ENSP00000324856
P27448	9606.ENSP00000411397
Q7KZI7	9606.ENSP00000385751
Q9P0L2	9606.ENSP00000483424
Q96L34	9606.ENSP00000262891
Q14680	9606.ENSP00000298048
Q8IY84	9606.ENSP00000420849
O60285	9606.ENSP00000261402
Q9H093	9606.ENSP00000356125
Q96RG2	9606.ENSP00000351475
Q9Y2K2	9606.ENSP00000364449
Q9H0K1	9606.ENSP00000305976
P57059	9606.ENSP00000270162
Q9NRH2	9606.ENSP00000296088
Q9BYT3	9606.ENSP00000416750
Q8N2I9	9606.ENSP00000362222
O14936	9606.ENSP00000367408
P07498	9606.ENSP00000304822
P53355	9606.ENSP00000386135
Q9UIK4	9606.ENSP00000261891
Q9UEE5	9606.ENSP00000319192
O94768	9606.ENSP00000263955
